/nfs/homedirs/gmik/lrgwn/.venv/lib/python3.11/site-packages/torch_geometric/data/dataset.py:115: UserWarning: The `pre_transform` argument differs from the one used in the pre-processed version of this dataset. If you want to make use of another pre-processing technique, pass `force_reload=True` explicitly to reload the dataset.
  self._process()
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /nfs/homedirs/gmik/.netrc.
wandb: Currently logged in as: m-goloshchapov (m_goloshchapov) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run i5fz1nzb
wandb: Tracking run with wandb version 0.24.2
wandb: Run data is saved locally in /nfs/homedirs/gmik/lrgwn/wandb/run-20260305_142357-i5fz1nzb
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run daily-aardvark-10
wandb: ⭐️ View project at https://wandb.ai/m_goloshchapov/peptides-func
wandb: 🚀 View run at https://wandb.ai/m_goloshchapov/peptides-func/runs/i5fz1nzb
Epoch 1, train loss 0.3909, val loss 0.3551, val average_precision 0.2167
Epoch 2, train loss 0.3405, val loss 0.3194, val average_precision 0.2979
Epoch 3, train loss 0.3166, val loss 0.3070, val average_precision 0.3244
Epoch 4, train loss 0.3025, val loss 0.2909, val average_precision 0.3916
Epoch 5, train loss 0.2921, val loss 0.2776, val average_precision 0.4042
Epoch 6, train loss 0.2855, val loss 0.2797, val average_precision 0.4134
Epoch 7, train loss 0.2740, val loss 0.2697, val average_precision 0.4433
Epoch 8, train loss 0.2693, val loss 0.2676, val average_precision 0.4447
Epoch 9, train loss 0.2626, val loss 0.2590, val average_precision 0.4628
Epoch 10, train loss 0.2568, val loss 0.2472, val average_precision 0.5060
Epoch 11, train loss 0.2493, val loss 0.2455, val average_precision 0.5190
Epoch 12, train loss 0.2441, val loss 0.2405, val average_precision 0.5231
Epoch 13, train loss 0.2386, val loss 0.2405, val average_precision 0.5195
Epoch 14, train loss 0.2372, val loss 0.2349, val average_precision 0.5406
Epoch 15, train loss 0.2275, val loss 0.2326, val average_precision 0.5454
Epoch 16, train loss 0.2225, val loss 0.2233, val average_precision 0.5553
Epoch 17, train loss 0.2190, val loss 0.2269, val average_precision 0.5458
Epoch 18, train loss 0.2194, val loss 0.2211, val average_precision 0.5664
Epoch 19, train loss 0.2139, val loss 0.2149, val average_precision 0.5781
Epoch 20, train loss 0.2096, val loss 0.2148, val average_precision 0.5846
Epoch 21, train loss 0.2044, val loss 0.2139, val average_precision 0.5859
Epoch 22, train loss 0.2007, val loss 0.2229, val average_precision 0.5778
Epoch 23, train loss 0.1969, val loss 0.2213, val average_precision 0.5875
Epoch 24, train loss 0.1941, val loss 0.2094, val average_precision 0.6027
Epoch 25, train loss 0.1904, val loss 0.2110, val average_precision 0.6225
Epoch 26, train loss 0.1913, val loss 0.2043, val average_precision 0.6198
Epoch 27, train loss 0.1865, val loss 0.2091, val average_precision 0.6237
Epoch 28, train loss 0.1832, val loss 0.2101, val average_precision 0.6270
Epoch 29, train loss 0.1819, val loss 0.2098, val average_precision 0.6232
Epoch 30, train loss 0.1781, val loss 0.2121, val average_precision 0.6214
Epoch 31, train loss 0.1726, val loss 0.2036, val average_precision 0.6321
Epoch 32, train loss 0.1695, val loss 0.2145, val average_precision 0.6277
Epoch 33, train loss 0.1713, val loss 0.2094, val average_precision 0.6339
Epoch 34, train loss 0.1722, val loss 0.2072, val average_precision 0.6384
Epoch 35, train loss 0.1655, val loss 0.2036, val average_precision 0.6472
Epoch 36, train loss 0.1613, val loss 0.2088, val average_precision 0.6415
Epoch 37, train loss 0.1574, val loss 0.2051, val average_precision 0.6588
Epoch 38, train loss 0.1551, val loss 0.2013, val average_precision 0.6524
Epoch 39, train loss 0.1510, val loss 0.2065, val average_precision 0.6611
Epoch 40, train loss 0.1483, val loss 0.2084, val average_precision 0.6616
Epoch 41, train loss 0.1449, val loss 0.2109, val average_precision 0.6631
Epoch 42, train loss 0.1471, val loss 0.2127, val average_precision 0.6469
Epoch 43, train loss 0.1441, val loss 0.2054, val average_precision 0.6665
Epoch 44, train loss 0.1383, val loss 0.2165, val average_precision 0.6552
Epoch 45, train loss 0.1384, val loss 0.2100, val average_precision 0.6533
Epoch 46, train loss 0.1376, val loss 0.2141, val average_precision 0.6651
Epoch 47, train loss 0.1335, val loss 0.2093, val average_precision 0.6626
Epoch 48, train loss 0.1293, val loss 0.2092, val average_precision 0.6794
Epoch 49, train loss 0.1265, val loss 0.2212, val average_precision 0.6579
Epoch 50, train loss 0.1268, val loss 0.2209, val average_precision 0.6779
Epoch 51, train loss 0.1230, val loss 0.2198, val average_precision 0.6625
Epoch 52, train loss 0.1222, val loss 0.2325, val average_precision 0.6559
Epoch 53, train loss 0.1189, val loss 0.2287, val average_precision 0.6649
Epoch 54, train loss 0.1181, val loss 0.2117, val average_precision 0.6774
Epoch 55, train loss 0.1141, val loss 0.2307, val average_precision 0.6679
Epoch 56, train loss 0.1136, val loss 0.2229, val average_precision 0.6854
Epoch 57, train loss 0.1115, val loss 0.2201, val average_precision 0.6766
Epoch 58, train loss 0.1087, val loss 0.2274, val average_precision 0.6667
Epoch 59, train loss 0.1069, val loss 0.2294, val average_precision 0.6856
Epoch 60, train loss 0.1045, val loss 0.2233, val average_precision 0.6874
Epoch 61, train loss 0.1069, val loss 0.2370, val average_precision 0.6636
Epoch 62, train loss 0.1059, val loss 0.2324, val average_precision 0.6729
Epoch 63, train loss 0.1017, val loss 0.2377, val average_precision 0.6915
Epoch 64, train loss 0.0984, val loss 0.2319, val average_precision 0.6804
Epoch 65, train loss 0.0969, val loss 0.2494, val average_precision 0.6677
Epoch 66, train loss 0.1009, val loss 0.2376, val average_precision 0.6769
Epoch 67, train loss 0.0968, val loss 0.2423, val average_precision 0.6838
Epoch 68, train loss 0.0941, val loss 0.2425, val average_precision 0.6776
Epoch 69, train loss 0.0943, val loss 0.2537, val average_precision 0.6864
Epoch 70, train loss 0.0904, val loss 0.2498, val average_precision 0.6795
